name,time,value
Setpoint_LazienkaGorna,1601136600098000000,7
Setpoint_LazienkaGorna,1601136900127000000,7
Setpoint_LazienkaGorna,1601137200136000000,7
Setpoint_LazienkaGorna,1601137500142000000,7
Setpoint_LazienkaGorna,1601137800150000000,7
Setpoint_LazienkaGorna,1601138100163000000,7
Setpoint_LazienkaGorna,1601138400170000000,7
Setpoint_LazienkaGorna,1601138700176000000,7
Setpoint_LazienkaGorna,1601139000182000000,7
Setpoint_LazienkaGorna,1601139300188000000,7
Setpoint_LazienkaGorna,1601139600194000000,7
Setpoint_LazienkaGorna,1601139900201000000,7
Setpoint_LazienkaGorna,1601140200208000000,7
Setpoint_LazienkaGorna,1601140500219000000,7
Setpoint_LazienkaGorna,1601140800227000000,7
Setpoint_LazienkaGorna,1601141100238000000,7
Setpoint_LazienkaGorna,1601141400248000000,7
Setpoint_LazienkaGorna,1601141700254000000,7
Setpoint_LazienkaGorna,1601142000259000000,7
Setpoint_LazienkaGorna,1601142300265000000,7
Setpoint_LazienkaGorna,1601142600273000000,7
Setpoint_LazienkaGorna,1601142900279000000,7
Setpoint_LazienkaGorna,1601143200285000000,7
Setpoint_LazienkaGorna,1601143500291000000,7
Setpoint_LazienkaGorna,1601143800296000000,7
Setpoint_LazienkaGorna,1601144100307000000,7
Setpoint_LazienkaGorna,1601144400311000000,7
Setpoint_LazienkaGorna,1601144700317000000,7
Setpoint_LazienkaGorna,1601145000322000000,7
Setpoint_LazienkaGorna,1601145300329000000,7
Setpoint_LazienkaGorna,1601145600335000000,7
Setpoint_LazienkaGorna,1601145900341000000,7
Setpoint_LazienkaGorna,1601146200353000000,7
Setpoint_LazienkaGorna,1601146500358000000,7
Setpoint_LazienkaGorna,1601146800364000000,7
Setpoint_LazienkaGorna,1601147100370000000,7
Setpoint_LazienkaGorna,1601147400376000000,7
Setpoint_LazienkaGorna,1601147700382000000,7
Setpoint_LazienkaGorna,1601148000388000000,7
Setpoint_LazienkaGorna,1601148300394000000,7
Setpoint_LazienkaGorna,1601148600407000000,7
Setpoint_LazienkaGorna,1601148900412000000,7
Setpoint_LazienkaGorna,1601149200418000000,7
Setpoint_LazienkaGorna,1601149500424000000,7
Setpoint_LazienkaGorna,1601149800429000000,7
Setpoint_LazienkaGorna,1601150100435000000,7
Setpoint_LazienkaGorna,1601150400441000000,7
Setpoint_LazienkaGorna,1601150700447000000,7
Setpoint_LazienkaGorna,1601151000453000000,7
Setpoint_LazienkaGorna,1601151300458000000,7
Setpoint_LazienkaGorna,1601151600464000000,7
Setpoint_LazienkaGorna,1601151900470000000,7
Setpoint_LazienkaGorna,1601152200475000000,7
Setpoint_LazienkaGorna,1601152500481000000,7
Setpoint_LazienkaGorna,1601152800486000000,7
Setpoint_LazienkaGorna,1601153100492000000,7
Setpoint_LazienkaGorna,1601153400498000000,7
Setpoint_LazienkaGorna,1601153700505000000,7
Setpoint_LazienkaGorna,1601154000511000000,7
Setpoint_LazienkaGorna,1601154300517000000,7
Setpoint_LazienkaGorna,1601154600523000000,7
Setpoint_LazienkaGorna,1601154900938000000,7
Setpoint_LazienkaGorna,1601155200944000000,7
Setpoint_LazienkaGorna,1601155500949000000,7
Setpoint_LazienkaGorna,1601155800958000000,7
Setpoint_LazienkaGorna,1601156100979000000,7
Setpoint_LazienkaGorna,1601156400986000000,7
Setpoint_LazienkaGorna,1601156700991000000,7
Setpoint_LazienkaGorna,1601157000999000000,7
Setpoint_LazienkaGorna,1601157300006000000,7
Setpoint_LazienkaGorna,1601157600018000000,7
Setpoint_LazienkaGorna,1601157900032000000,7
Setpoint_LazienkaGorna,1601158200044000000,7
Setpoint_LazienkaGorna,1601158500057000000,7
Setpoint_LazienkaGorna,1601158800068000000,7
Setpoint_LazienkaGorna,1601159100081000000,7
Setpoint_LazienkaGorna,1601159400094000000,7
Setpoint_LazienkaGorna,1601159700105000000,7
Setpoint_LazienkaGorna,1601160000117000000,7
Setpoint_LazienkaGorna,1601160300130000000,7
Setpoint_LazienkaGorna,1601160600144000000,7
Setpoint_LazienkaGorna,1601160900156000000,7
Setpoint_LazienkaGorna,1601161200177000000,7
Setpoint_LazienkaGorna,1601161500190000000,7
Setpoint_LazienkaGorna,1601161800202000000,7
Setpoint_LazienkaGorna,1601162100214000000,7
Setpoint_LazienkaGorna,1601162400226000000,7
Setpoint_LazienkaGorna,1601162700238000000,7
Setpoint_LazienkaGorna,1601163000250000000,7
Setpoint_LazienkaGorna,1601163300263000000,7
Setpoint_LazienkaGorna,1601163600278000000,7
Setpoint_LazienkaGorna,1601163900290000000,7
Setpoint_LazienkaGorna,1601164800223000000,7
Setpoint_LazienkaGorna,1601165700238000000,7
Setpoint_LazienkaGorna,1601166600256000000,7
Setpoint_LazienkaGorna,1601167500272000000,7
Setpoint_LazienkaGorna,1601168400299000000,7
Setpoint_LazienkaGorna,1601169300314000000,7
Setpoint_LazienkaGorna,1601170200341000000,7
Setpoint_LazienkaGorna,1601171100359000000,7
Setpoint_LazienkaGorna,1601172000374000000,7
Setpoint_LazienkaGorna,1601172900391000000,7
Setpoint_LazienkaGorna,1601173800416000000,7
Setpoint_LazienkaGorna,1601174700437000000,7
Setpoint_LazienkaGorna,1601175600454000000,7
Setpoint_LazienkaGorna,1601176500472000000,7
Setpoint_LazienkaGorna,1601177400482000000,7
Setpoint_LazienkaGorna,1601178300491000000,7
Setpoint_LazienkaGorna,1601179200500000000,7
Setpoint_LazienkaGorna,1601180100511000000,7
Setpoint_LazienkaGorna,1601181000526000000,7
Setpoint_LazienkaGorna,1601181900547000000,7
Setpoint_LazienkaGorna,1601182800562000000,7
Setpoint_LazienkaGorna,1601183700571000000,7
Setpoint_LazienkaGorna,1601184600585000000,7
Setpoint_LazienkaGorna,1601185500600000000,7
Setpoint_LazienkaGorna,1601186400614000000,7
Setpoint_LazienkaGorna,1601187300627000000,7
Setpoint_LazienkaGorna,1601188200646000000,7
Setpoint_LazienkaGorna,1601189100671000000,7
Setpoint_LazienkaGorna,1601190000688000000,7
Setpoint_LazienkaGorna,1601190900700000000,7
Setpoint_LazienkaGorna,1601191800711000000,7
Setpoint_LazienkaGorna,1601192680572000000,22.5
Setpoint_LazienkaGorna,1601192700728000000,22.5
Setpoint_LazienkaGorna,1601193600741000000,22.5
Setpoint_LazienkaGorna,1601194500751000000,22.5
Setpoint_LazienkaGorna,1601195400763000000,22.5
Setpoint_LazienkaGorna,1601196300773000000,22.5
Setpoint_LazienkaGorna,1601197200787000000,22.5
Setpoint_LazienkaGorna,1601198100808000000,22.5
Setpoint_LazienkaGorna,1601199000817000000,22.5
Setpoint_LazienkaGorna,1601199900826000000,22.5
Setpoint_LazienkaGorna,1601200800841000000,22.5
Setpoint_LazienkaGorna,1601201700852000000,22.5
Setpoint_LazienkaGorna,1601202600862000000,22.5
Setpoint_LazienkaGorna,1601203500874000000,22.5
Setpoint_LazienkaGorna,1601204400884000000,22.5
Setpoint_LazienkaGorna,1601205300893000000,22.5
Setpoint_LazienkaGorna,1601206200905000000,22.5
Setpoint_LazienkaGorna,1601207100914000000,22.5
Setpoint_LazienkaGorna,1601208000925000000,22.5
Setpoint_LazienkaGorna,1601208900938000000,22.5
Setpoint_LazienkaGorna,1601209800951000000,22.5
